object_id,publisher,journal,issn
item_3367816,American Chemical Society,ACS Chemical Biology,1554-8929
item_3372615,Royal Society,"Philosophical Transactions of the Royal Society of London, Series B: Biological Sciences",0962-8436
item_3457680,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3458841,MDPI AG,Life,2075-1729
item_3372918,Pergamon,Neuroscience and Biobehavioral Reviews,0149-7634
item_3391516,American Association for the Advancement of Science,Science,0036-8075
item_3380857,Elsevier,Brain Stimulation,1935-861X
item_3405639,Springer Science and Business Media LLC,SCIENTIFIC REPORTS,2045-2322
item_3476705,American Chemical Society,ACS Food Science & Technology,2692-1944
item_3384445,American Chemical Society,ACS Applied Materials and Interfaces,1944-8244
item_3387114,American Chemical Society,ACS Applied Materials and Interfaces,1944-8244
item_3483950,The Royal Society,Open Biology,2046-2441
item_3530277,The Royal Society,Open Biology,2046-2441
item_3372638,Copernicus GmbH,Biogeosciences,17264170
item_3489098,Cell Press,Immunity,1074-7613
item_3364377,Institut für Musikwissenschaft und Musikpädagogik ,Jahrbuch für Renaissancemusik : troja: Maximilian I. (1459–1519) und Musik : Reale Präsenz vs. virtuelle Kommunikation ,2513-1028
item_3557066,,Critica Marxista,0011-152X
item_3517951,International Mycological Association,IMA Fungus,2210-6359
item_3396813,Wiley-VCH,ChemistryOpen,2191-1363
item_3364716,Frontiers Media,Frontiers in Plant Science,1664-462X
item_3488752,Springer Science and Business Media LLC,Nature Communications,2041-1723
item_3431357,American Chemical Society,ACS Chemical Biology,1554-8929
item_3407542,Nature Publishing Group,Nature Communications,2041-1723
item_3458603,American Physical Society,Physical Review B,1098-0121
item_3383615,American Chemical Society,Journal of the American Chemical Society,0002-7863
item_3429039,The Royal Society,Royal Society Open Science,2054-5703
item_3364410,ACS Publications,ACS applied bio materials,2576-6422
item_3432647,Wiley-VCH ,Angewandte Chemie International Edition,1433-7851
item_3373539,Elsevier,CELL METABOLISM,1550-4131
item_3398146,,Nature Reviews Drug Discovery,
item_3373963,Wiley (Blackwell Publishing),JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,0021-9630
item_3375847,The Royal Society,Open Biol,2046-2441
item_3434824,Royal Society,"Philosophical Transactions of the Royal Society of London, Series B: Biological Sciences",0962-8436
item_3486497,John Wiley & Sons,The Journal of Comparative Neurology,1550-7130
item_3581532,American Chemical Society,Journal of the American Chemical Society,0002-7863
item_3511811,American Chemical Society,Nano Letters,1530-6984
item_3434596,American Physical Society,Physical Review Letters,0031-9007
item_3401443,Elsevier B.V.,Planetary and Space Science,0032-0633
item_3373249,Copernicus Publ. ,Soil,2199-3971
item_3364996,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3475463,Royal Society of Chemistry,Chemical Science,2041-6520
item_3484999,Institute of Physics Publishing,Journal of Physics: Materials,
item_3399394,Wiley (Blackwell Publishing),Annals of the New York Academy of Sciences,0077-8923
item_3394808,Nature Publishing Group,Scientific Reports,2045-2322
item_3457909,Springer-Verlag Heidelberg,European Physical Journal B,1434-6028
item_3369669,American Institute of Physics,Applied Physics Letters,0003-6951
item_3365698,Copernicus Publ.,Geoscientific Model Development,1991-959X
item_3500194,MDPI,Plasma,2571-6182
item_3405792,IoPP,Science and Technology of Advanced Materials,1878-5514
item_3362248,Copernicus Publications,Atmospheric Chemistry and Physics,1680-7316
item_3400571,Royal Society of Chemistry,Faraday Discussions,1359-6640
item_3481144,Cambridge University Press,Proceedings of the Nutrition Society,1475-2719
item_3432080,Springer-International,Climate Dynamics,0930-7575
item_3383380,Wiley (Blackwell Publishing),LIMNOLOGY AND OCEANOGRAPHY,0024-3590
item_3384654,Elsevier,CLINICAL IMMUNOLOGY,1521-6616
item_3384110,American Institute of Physics,AIP Advances,2158-3226
item_3379670,Springer Netherlands,"Air Quality, Atmosphere & Health",1873-9318
item_3367684,WILEY-VCH Verlag,Contributions to Plasma Physics,0863-1042
item_3340048,Copernicus Publ.,Geoscientific Model Development,1991-959X
item_3375895,Wiley; New Phytologist Foundation,New Phytologist,0028-646X
item_3486512,Elsevier,Chemical Engineering Journal,1385-8947
item_3490840,IOP Publishing,Journal of Cosmology and Astroparticle Physics,1475-7516
item_3480935,North-Holland,Physics Letters B,0370-2693
item_3385589,Royal Society,Interface : Journal of the Royal Society,1742-5689
item_3573620,Lex Lata,Czech yearbook of international law,2157-2976
item_3488720,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3484467,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3380982,American Physical Society,Physical Review C,0556-2813
item_3490971,American Physical Society,Physical Review D,2470-0010
item_3488796,Springer Science and Business Media LLC,Scientific Reports,2045-2322
item_3399588,American Physical Society,Physical Review D,0556-2821
item_3476220,Elsevier,Science of the Total Environment,0048-9697
item_3432917,Wiley-VCH,Chemistry – A European Journal,0947-6539
item_3363963,Springer Science and Business Media LLC,Nature Communications,2041-1723
item_3391301,MDPI AG,International Journal of Molecular Sciences ,1422-0067
item_3376233,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3488709,Public Library of Science,PLoS Computational Biology,1553-734X
item_3396413,American Chemical Society,Journal of Physical Chemistry C,1932-7447
item_3374965,,BMC Genomics,
item_3510212,Springer,Computational Brain & Behavior ,
item_3484420,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3480294,Wiley-VCH,Advanced Materials,0935-9648
item_3404357,Copernicus Publ.,Geoscientific Model Development,1991-959X
item_3394581,American Chemical Society,Journal of Chemical Theory and Computation,1549-9618
item_3310279,Cambridge University Press.,Behavioral and Brain Sciences,0140-525X
item_3355848,Royal Society of Chemistry,Chemical Science,2041-6520
item_3512473,National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America,0027-8424
item_3375061,Blackwell Science,The Plant Journal,0960-7412
item_3374246,MDPI AG,Crystals,2073-4352
item_3451362,Informa UK (Taylor & Francis),Engineering Applications of Computational Fluid Mechanics,1994-2060
item_3390247,American Chemical Society,Journal of the American Chemical Society,0002-7863
item_3379099,ACS,ACS Catalysis,2155-5435
item_3371426,IEEE,IEEE Robotics and Automation Letters,2377-3766
item_3401997,Royal Society of Chemistry,Journal of Materials Chemistry A,2050-7488
item_3387267,Wiley-Liss,Magnetic Resonance in Medicine,0740-3194
item_3451449,Nature Publishing Group,Nature Communications,2041-1723
item_3424124,National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America,0027-8424
item_3483094,Wiley-VCH,Advanced Energy Materials,1614-6832
item_3396346,Wiley-VCH,Chemistry – A European Journal,0947-6539
item_3374474,Wiley-VCH,Advanced Electronic Materials,2199-160X
item_3405214,Wiley (Blackwell Publishing),Industrial Relations Journal,0019-8692
item_3383157,Frontiers Media,Frontiers in immunology,1664-3224
item_3398531,Frontiers Research Foundation,Frontiers in Human Neuroscience,1662-5161
item_3458003,Nature Publishing Group,Nature Communications,2041-1723
item_3485771,Royal Society of Chemistry,Dalton Transactions,1477-9226
item_3376581,Springer Nature,Communications Biology,2399-3642
item_3434545,Springer-Verlag,Planta,0032-0935
item_3369922,eLife Sciences Publications,eLife,2050-084X
item_3486502,Editorial Board of Journal of Materials Science and Technology,Journal of Materials Science & Technology,1005-0302
item_3480407,Elsevier ,iScience,2589-0042
item_3606611,Edizioni Ca’ Foscari,"The Journal for the Philosophy of Language, Mind and the Arts: JoLMA",2723-9640
item_3432457,British Medical Association,Journal of Medical Genetics ,0022-2593
item_3371227,IOP Publishing,Journal of Cosmology and Astroparticle Physics,1475-7516
item_3430873,Wiley-VCH,ChemCatChem,1867-3880
item_3383524,Elsevier,Journal of Molecular Biology,0022-2836
item_3451071,Elsevier B. V.,Scripta Materialia,1359-6462
item_3407259,Wiley-VCH,Berichte zur Wissenschaftsgeschichte,0170-6233
item_3393967,Nature Publishing Group,Scientific Reports,2045-2322
item_3451417,Frontiers Media,Frontiers in immunology,1664-3224
item_3430763,Birkha.user,Annales Henri Poincare,1424-0637
item_3375828,Blackwell Science,Environmental Microbiology,1462-2912
item_3369667,Nature Research,Nature Climate Change,1758678X
item_3373642,Nature Publishing Group,Scientific Reports,2045-2322
item_3365068,MDPI,Pharmaceutics,1999-4923
item_3383184,Elsevier,Bone,8756-3282
item_3374888,Frontiers Media,Frontiers in Marine Science,2296-7745
item_3372000,Nature Publishing Group,Nature Communications,2041-1723
item_3403059,Frontiers Media,Frontiers in Cellular Neuroscience,1664-8714
item_3377987,American Geophysical Union,Journal of Geophysical Research: Biogeosciences,2169-8961
item_3508542,Springer Nature,Nature Metabolism,2522-5812
item_3487787,Springer-Verlag,MARINE BIODIVERSITY,1867-1616
item_3379018,Springer,Annals of Mathematics and Artificial Intelligence,1012-2443
item_3385510,Nature Publishing Group,Nature Communications,2041-1723
item_3362240,Elsevier,EBioMedicine,2352-3964
item_3385932,Routledge,"Language, Cognition and Neuroscience ",
item_3396365,Elsevier,Acta Psychologica,0001-6918
item_3429931,Public Library of Science,PLoS One,1932-6203
item_3560174,University of British Columbia,Pacific affairs,0030-851X
item_3489398,Wiley-VCH,Advanced Science,2198-3844
item_3477891,Nature Publishing Group,Scientific Reports,2045-2322
item_3374460,SAGE Publications,Competition & Change,1024-5294
item_3383838,National Academy of Sciences,Proceedings of the National Academy of Sciences of the United States of America,0027-8424
item_3388300,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,0027-8424
item_3456403,Informa UK (Taylor & Francis),Economy and Society,0308-5147
item_3518454,Frontiers Research Foundation ,Frontiers in Neurorobotics ,1662-5218
item_3506061,Nature Publishing Group,Nature Communications,2041-1723
item_3374043,WILEY-VCH Verlag GmbH & Co. KGaA,ChemElectroChem,2196-0216
item_3475246,Springer Science and Business Media LLC,Nature,0028-0836
item_3519555,IOP Publishing,New Journal of Physics,1367-2630
item_3396905,,FOOD CHEMISTRY,
item_3399658,Institute of Physics Pub.,Journal of Cosmology and Astroparticle Physics,1475-7516
item_3430234,Institute of Physics Pub.,Journal of Cosmology and Astroparticle Physics,1475-7516
item_3429260,American Chemical Society,Journal of the American Chemical Society,0002-7863
item_3470830,Springer Sciences & Business Media,Metallurgical and Materials Transactions A,1073-5623
item_3473914,Kluwer Academic Publishers,European Journal of Plant Pathology,0929-1873
item_3362130,Springer,Journal of the American Society for Mass Spectrometry,1044-0305
item_3405528,Cambridge University Press,Journal of Plasma Physics,0022-3778
item_3489338,eLife Sciences Publications,eLife,2050-084X
item_3485274,Elsevier B.V.,Nuclear Materials and Energy,
item_3391149,Royal Society of Chemistry,Physical Chemistry Chemical Physics,1463-9076
item_3479162,Informa UK (Taylor & Francis),The Asia Pacific Journal of Anthropology,1444-2213
item_3374940,Oxford University Press [etc.],Journal of Experimental Botany,0022-0957
item_3388809,Nature Publishing Group,Scientific Reports,2045-2322
item_3492800,Molecular Diversity Preservation International,Entropy,1099-4300
item_3493487,MDPI,Entropy,1099-4300
item_3489523,Wiley-VCH,Advanced Science,2198-3844
item_3481479,Elsevier B. V.,Journal of Molecular Spectroscopy,0022-2852
item_3486998,MDPI AG,Crystals,2073-4352
item_3387815,Elsevier,Applied Catalysis B: Environmental,0926-3373
item_3370599,Elsevier,Genetics in Medicine,1098-3600
item_3376040,American Psychological Association,Journal of Comparative Psychology,1939-2087
item_3401013,MDPI,Chemistry,2624-8549
item_3379662,Pergamon,Quaternary International,1040-6182
item_3475514,Wiley-Blackwell,Molecular Ecology,0962-1083
item_3481511,Elsevier,"Annals of Oncology

",0923-7534
item_3372060,Elsevier B.V.,Nuclear Materials and Energy,
item_3429157,Elsevier,International Journal of Paleopathology,18799817
item_3570366,Informa UK (Taylor & Francis),International Review of Applied Economics ,0269-2171
item_3399521,AIP Publishing ,Matter and radiation at extremes ,2468-080X
item_3430619,Nature Publishing Group,Nature Nanotechnology,1748-3387
item_3484514,Royal Society of Chemistry,Nanoscale,2040-3364
item_3402019,American Chemical Society,Inorganic Chemistry,0020-1669
item_3371757,Oxford University Press,Cerebral Cortex,1047-3211
item_3358994,Oxford University Press,Cerebral Cortex,1047-3211
item_3379012,Elsevier B.V.,Radiation Physics and Chemistry,0969-806X
item_3456564,Munksgaard International Publishers,Oikos,0030-1299 (print)
item_3497598,American Physical Society,Physical Review B,1098-0121
item_3377802,Elsevier,Food Hydrocolloids,0268-005X
item_3394812,Wiley (John Wiley & Sons),AIChE Journal,0001-1541
item_3488381,MDPI,Viruses,1999-4915
item_3509814,Academic Press,Metabolic Engineering,1096-7176
item_3489172,MDPI,Land,2073-445X
item_3458750,Nature Publishing Group,Nature Communications,2041-1723
item_3369925,Wiley-VCH,Advanced nanoBiomed research,2699-9307
item_3368655,Wiley-VCH,Advanced nanoBiomed research,2699-9307
item_3372588,Nature Publishing Group,Nature,0028-0836
item_3484613,Rockefeller Institute for Medical Research,Journal of Experimental Medicine,0022-1007
item_3511684,Springer Nature Publishing,Nature Machine Intelligence,2522-5839
item_3403388,American Geophysical Union / Wiley,Geophysical Research Letters,0094-8276
item_3369229,IOP Publishing,Journal of Instrumentation,1748-0221
item_3400376,Lippincott Williams & Wilkins,Stroke,0039-2499
item_3368701,American Chemical Society,ACS Photonics,2330-4022
item_3360437,American Chemical Society,Analytical Chemistry,0003-2700
item_3497231,American Institute of Physics,The Journal of Chemical Physics,0021-9606
item_3389044,Nature Pub. Group,Nature Physics,1745-2473
item_3456433,Public Library of Science,PLoS Computational Biology,1553-734X
item_3383645,Nature Publishing Group,Scientific Reports,2045-2322
item_3377303,Copernicus GmbH ,Earth System Dynamics,2190-4979
item_3476148,Molecular Diversity Preservation International (MDPI) ,Remote Sensing,2072-4292
item_3406594,Molecular Diversity Preservation International (MDPI) ,Remote Sensing,2072-4292
item_3477181,"European Geosciences Union, Copernicus ",Atmospheric Measurement Techniques,1867-1381
item_3502122,"Dokuz Eylul Univ., Dep. of Environmental Engineering",Atmospheric Pollution Research  ,1309-1042
item_3378702,The Open Journal,The Journal of Open Source Software ,2475-9066
item_3405365,Institute of Physics,Environmental Research Letters,1748-9326
item_3485468,Frontiers Media,Frontiers in Plant Science,1664-462X
item_3388010,Elsevier,Journal of Molecular Liquids,0167-7322
item_3458226,Royal Society ,Proceedings of the Royal Society B: Biological Sciences ,0962-8452
item_3405969,Frontiers Media,Frontiers in Ecology and Evolution,2296-701X
item_3396896,American Physical Society,Physical Review Fluids,2469-990X
item_3368510,Company of Biologists,Development,0950-1991
item_3431769,Wiley,International Journal of Climatology,0899-8418
item_3366732,American Chemical Society,ACS Photonics,2330-4022
item_3386645,Routledge,European Journal of Higher Education,2156-8235
item_3488438,Informa UK (Taylor & Francis),Review of International Political Economy,0969-2290
item_3475996,,Praxis des Internationalen Privat- und Verfahrensrechts ,0720-6585
item_3573592,C.H. Beck,Zeitschrift für ausländisches öffentliches Recht und Völkerrecht,0044-2348
item_3502139,Frontiers Media,Frontiers in Marine Science,2296-7745
item_3557158,American Physical Society,Physical Review B,1098-0121
item_3398665,Nature Publishing Group,Scientific Reports,2045-2322
item_3369512,Frontiers Media SA,Frontiers in Physics,2296-424X
item_3451289,Royal Society of Chemistry,Soft Matter,1744-683X
item_3396829,eLife Sciences Publications,eLife,2050-084X
item_3501058,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3458747,Elsevier B.V.,Science Bulletin,2095-9273
item_3486564,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3395083,Public Library of Science,PLoS Computational Biology,1553-734X
item_3394977,Wiley-Blackwell,Molecular Ecology,0962-1083
item_3375069,Cell Press,Current Biology,0960-9822
item_3490088,American Chemical Society,ACS Central Science,
item_3397641,American Chemical Society,ACS Central Science,
item_3536932,Cambridge University Press,Philosophy of Science,0031-8248
item_3387308,Waverly Press,Cancer Research,0008-5472
item_3386563,Elsevier,The Journal of Biological Chemistry,0021-9258
item_3405533,MDPI AG,Metals,2075-4701
item_3344847,American Physical Society (APS),Physical Review Research,2643-1564
item_3484416,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3377211,Stockton Press,Molecular Psychiatry,1359-4184
item_3404171,MDPI,Nutrients,2072-6643
item_3616847,CNRS,Paléorient,0153-9345
item_3375465,Informa UK (Taylor & Francis),"East Asian Science, Technology and Society",1875-2160
item_3509317,Cell Press,Cell Metabolism,1550-4131
item_3511668,Springer-Verlag,Trees,0931-1890
item_3407428,Wiley-VCH,Berichte zur Wissenschaftsgeschichte,0170-6233
item_3373879,American Chemical Society,Macromolecules,0024-9297
item_3456827,SAGE Publications,Politics & Society,0032-3292
item_3405675,IOP Publishing,New Journal of Physics,1367-2630
item_3400313,American Physical Society,Physical Review E,1539-3755
item_3480864,Elsevier,Physics of the Dark Universe,2212-6864
item_3471068,American Physical Society,Physical Review A,1050-2947
item_3397716,American Physical Society,Physical Review E,1539-3755
item_3376867,Nature Publishing Group,Scientific Reports,2045-2322
item_3476273,Royal Society of Chemistry,Physical Chemistry Chemical Physics,1463-9076
item_3340878,American Physical Society,Physical Review D,0556-2821
item_3482093,The University of Chicago Press,Isis,0021-1753
item_3380074,Frontiers Research Foundation,Frontiers in Neurology,1664-2295
item_3493848,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3373968,Springer-Verlag,EUROPEAN ARCHIVES OF PSYCHIATRY AND CLINICAL NEUROSCIENCE,0940-1334
item_3401097,Australian Academic Press,Twin Research and Human Genetics,1832-4274
item_3237660,European Geosciences Union,Hydrology and Earth System Sciences,1607-7938
item_3399175,European Geosciences Union,Hydrology and Earth System Sciences,1607-7938
item_3400291,Frontiers Media,Frontiers in Physics,2296-424X
item_3387884,Wiley-VCH,ChemSusChem,1864-5631
item_3367576,Royal Society of Chemistry,Journal of Materials Chemistry A,2050-7488
item_3366286,American Physical Society,Physical Review Letters,0031-9007
item_3434811,Nature Publishing Group,Nature Communications,2041-1723
item_3407650,American Physical Society,Physical Review A,1050-2947
item_3399942,Elsevier,Journal of Molecular Liquids,0167-7322
item_3484702,Springer Nature,Communications Chemistry,2399-3669
item_3451513,Wiley-VCH ,Angewandte Chemie,0044-8249
item_3515021,Elsevier,"Trees, Forests and People",26667193
item_3557154,American Chemical Society,Nano Letters,1530-6984
item_3451510,Wiley-VCH ,Angewandte Chemie International Edition,1433-7851
item_3374316,Springer-Verlag,Archaeological and Anthropological Sciences,1866-9557
item_3482277,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3340193,Wiley-VCH,ChemistryOpen,2191-1363
item_3373876,American Chemical Society,Macromolecules,0024-9297
item_3486991,Nature Publishing Group,Nature Communications,2041-1723
item_3399787,IOP Publishing,Journal of Physics: Condensed Matter,0953-8984
item_3506796,Elsevier,Robotics and Autonomous Systems,0921-8890
item_3379675,University of Chicago Press for the American Astronomical Society,Astrophysical Journal,0004-637X
item_3379053,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3369745,Springer,Anthropocene Science,2731-3980
item_3388560,Springer,Frontiers of Environmental Science & Engineering,2095-2201
item_3402050,Elsevier ; Cell Press,Biophysical Reports,2667-0747
item_3482850,Wiley-VCH,Global Challenges,2056-6646
item_3494795,Springer (Biomed Central Ltd.),Fluids and Barriers of the CNS,2045-8118
item_3488855,Elsevier,NeuroImage,10538119
item_3372449,Academic Press,NeuroImage,1053-8119
item_3372690,American Chemical Society,Journal of Chemical Theory and Computation,1549-9618
item_3402294,Wiley (John Wiley & Sons),Cognitive Science,1939-5078
item_3391325,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3502113,Springer,Environmental Science and Pollution Research,0944-1344
item_3495425,Oldenbourg Wissenschaftsverlag,Vierteljahreshefte für Zeitgeschichte, 2196-7121
item_3389868,AIP Publishing,Review of Scientific Instruments,0034-6748
item_3362432,Elsevier B.V.,Nuclear Materials and Energy,
item_3405508,Wiley,Molecular Ecology,0962-1083
item_3399627,American Physical Society,Physical Review Letters,0031-9007
item_3509386,JoVE,Journal of Visualized Experiments,1940-087X
item_3359945,ACM,Proceedings of the ACM on Programming Languages,2475-1421
item_3384178,John Benjamins Publishing,Diachronica,0176-4225
item_3485580,IOP Publishing,New Journal of Physics,1367-2630
item_3477191,Oxford University Press,Monthly Notices of the Royal Astronomical Society,1365-8711
item_3372843,John Wiley & Sons,Rapid Communications in Mass Spectrometry,0951-4198
item_3360757,American Chemical Society,Organic Letters,1523-7060
item_3482424,Elsevier,"Biochimica et Biophysica Acta, Bioenergetics",0005-2728
item_3476537,Waverly Press,Cancer research : an official organ of the American Association for Cancer Research,0008-5472 (print) 1538-7445 (online)
item_3399610,American Physical Society,Physical Review C,0556-2813
item_3395364,Rockefeller Institute Press,The Journal of Cell Biology : JCB,0021-9525
item_3434591,Springer Science and Business Media LLC,Nature Communications,2041-1723
item_3451186,Nature Publishing Group,Nature Communications,2041-1723
item_3399620,American Physical Society,Physical Review Letters,0031-9007
item_3377697,AAAS,Science Advances,2375-2548
item_3367578,Springer Science + Business Media B.V.,Journal of Superconductivity and Novel Magnetism,1557-1939
item_3496357,American Physical Society,Physical Review B,1098-0121
item_3493492,Wiley-VCH,Physica Status Solidi B,0370-1972
item_3405325,Wiley-Blackwell,Embo Molecular Medicine,1757-4676
item_3371667,Open Library of the Humanities,Laboratory Phonology,1868-6346
item_3485816,Nomos Verlag,Rechtswissenschaften,1868-8098
item_3480412,Springer,Applied Mathematics & Optimization,1432-0606
item_3379466,Peer Community In,Peer Community Journal,2804-3871
item_3366302,North-Holland,Astroparticle Physics,0927-6505
item_3430580,IOP Publishing,Journal of Physics G: Nuclear and Particle Physics,0954-3899
item_3370267,Wiley-Blackwell on behalf of the IUCr,Journal of Synchrotron Radiation,1600-5775
item_3374069,IOP Publishing,Machine Learning: Science and Technology,2632-2153
item_3432414,AAAS,Science Advances,2375-2548
item_3384418,"IOP Publishing, Thomas Sharp", Journal of Physics: Energy,2515-7655
item_3488773,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3488687,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3488722,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3374805,Cell Press,Molecular Cell,1097-2765
item_3476896,American Physical Society,Physical Review Letters,0031-9007
item_3432675,American Chemical Society,ACS Nano,1936-0851
item_3489251,EDP Sciences S A,Astronomy and Astrophysics,1432-0746
item_3501323,Frontiers Media,Frontiers in Astronomy and Space Sciences,2296-987X
item_3379655,Copernicus Publications,Atmospheric Chemistry and Physics,1680-7316
item_3497292,Springer Science and Business Media LLC,Scientific Reports,2045-2322
item_3519711,IEEE Computer Society.,IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828
item_3370534,Elsevier,Cognition,0010-0277
item_3395657,"Royal Society of Chemistry, etc.",Chemical Society Reviews,0306-0012
item_3458745,Nature Publishing Group,Nature Communications,2041-1723
item_3361870,American Chemical Society,Inorganic Chemistry,0020-1669
item_3593179,,Die Öffentliche Verwaltung,0029-859X
item_3370630,Routledge,"Religion, Brain & Behavior ",2153-599X
item_3593182,CNRS Editions,Annuaire français de droit international,
item_3490558,LGDJ,Revue Européenne du Droit,2740-8701
item_3552688,Editorial CSIC,Al-Qanṭara,0211-3589
item_3478276,Nature Publishing Group,Nature Communications,2041-1723
item_3379593,Wiley; New Phytologist Foundation,New Phytologist,0028-646X
item_3290850,Oxford University Press,Cerebral Cortex,1047-3211
item_3376168,Frontiers Media,Frontiers in Earth Science,2296-6463
item_3388577,Institute of Physics,Environmental Research Letters,1748-9326
item_3393938,A. Colin,"Annales: histoire, sciences sociales",0395-2649
item_3617970,MDPI,Quaternary,2571-550X
item_3364642,BioMed Central,BMC Bioinformatics,1471-2105
item_3484110,Royal Society of Chemistry,Physical Chemistry Chemical Physics,1463-9076
item_3450991,Springer,Frontiers of Environmental Science & Engineering,2095-2201
item_3396616,American Physical Society,Physical Review A,1050-2947
item_3398465,Royal Society of Chemistry,Soft Matter,1744-683X
item_3369137,American Physical Society,Physical Review A,1050-2947
item_3512782,Springer Science and Business Media Deutschland GmbH,Climate Dynamics,
item_3494474,OpenEdition,Cahiers d’histoire,1271-6669
item_3484586,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3497477,MDPI,Journal of Nuclear Engineering,2673-4362
item_3377338,American Physical Society,Physical Review Letters,0031-9007
item_3456101,SciPost Foundation,SciPost Physics,2542-4653
item_3370912,North-Holland,Journal of Crystal Growth,0022-0248
item_3380790,American Physical Society,Physical Review Letters,0031-9007
item_3398489,Elsevier,Journal of Memory and Language,0749-596X
item_3485157,Wiley-Liss,Evolutionary Anthropology,1520-6505
item_3398882,Public Library of Science,PLoS One,1932-6203
item_3406980,Frontiers Media,Frontiers in Earth Science,2296-6463
item_3364430,Psychonomic Society Inc.,Memory & Cognition ,0090-502X
item_3404850,ACM,Proceedings of the ACM on Programming Languages,2475-1421
item_3378903,American Chemical Society,Organic Letters,1523-7060
item_3501748,Marcel Dekker,Soft Materials,1539-445X
item_3359206,Frontiers Research Foundation,Frontiers in Psychology,1664-1078
item_3373627,American Geophysical Union,Global Biogeochemical Cycles,0886-6236
item_3281122,American Association for the Advancement of Science,Science,0036-8075
item_3488033,American Physical Society,Physical Review D,2470-0010
item_3458165,American Physical Society,Physical Review D,2470-0010
item_3497303,Elsevier B.V.,Nuclear Materials and Energy,
item_3482893,WILEY-VCH,Physik in unserer Zeit,0031-9252
item_3485435,Elsevier,"Palaeogeography, Palaeoclimatology, Palaeoecology",0031-0182
item_3457631,Public Library of Science,PLoS One,1932-6203
item_3373821,IEEE,IEEE Robotics and Automation Letters,2377-3766
item_3343266,IEEE,IEEE Robotics and Automation Letters,2377-3766
item_3395338,Blackwell-Wiley,Computer Graphics Forum,0167-7055
item_3486986,Wiley-VCH Verlag GmbH,Advanced Functional Materials,1616-301X
item_3511340,Cambridge University Press,Journal of Child Language ,0305-0009
item_3510727,Elsevier Ltd.,Materials and Design,0264-1275
item_3369647,ACS,ACS Catalysis,2155-5435
item_3508273,American Institute of Mathematical Sciences (AIMS),Journal of Computational Dynamics,2158-2505
item_3387458,IEEE,IEEE Robotics & Automation Magazine,1070-9932
item_3372755,Springer Science and Business Media LLC,Scientific Reports,2045-2322
item_3520127,IEEE,IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828
item_3523760,Elsevier,Robotics and Autonomous Systems,0921-8890
item_3516532,IEEE,IEEE Transactions on Haptics,2329-4051
item_3477237,Frontiers Research Foundation,Frontiers in Psychology,1664-1078
item_3379026,Multidisciplinary Digital Publishing Institute (MDPI),Brain Sciences,2076-3425
item_3403007,IEEE,IEEE Transactions on Robotics,1042-296X
item_3513094,TMLR,Transactions on Machine Learning Research,2835-8856
item_3400726,American Chemical Society,ACS Nano,1936-0851
item_3481026,American Physical Society,Physical Review C,0556-2813
item_3371576,Wiley (John Wiley & Sons),Futures & Foresight Science,2573-5152
item_3429431,Elsevier,Forces in Mechanics,2666-3597
item_3370119,eLife Sciences Publications,eLife,2050-084X
item_3376920,Society of Neuroscience,The Journal of Neuroscience ,0270-6474
item_3389158,Elsevier,Computers and Graphics,0097-8493
item_3552661,Cambridge University Press,German Law Journal,2071-8322
item_3518323,American Society for Clinical Investigation,The Journal of Clinical Investigation,0021-9738
item_3374921,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3387595,Frontiers Media,Frontiers in Robotics and AI,2296-9144
item_3400235,Wiley-VCH,Advanced Science,2198-3844
item_3510210,Springer,Computational Brain & Behavior ,
item_3378212,Elsevier ,iScience,2589-0042
item_3388621,Springer Science and Business Media LLC,Scientific Data,2052-4463
item_3396535,H. Veeman en Zonen.,Potato Research,0014-3065
item_3478652,American Physical Society (APS),Physical Review Research,2643-1564
item_3528856,Frontiers Media,Frontiers in Ecology and Evolution,2296-701X
item_3429166,Frontiers Media,Frontiers in Ecology and Evolution,2296-701X
item_3484883,Informa UK (Taylor & Francis),Review of International Political Economy,0969-2290
